term_str,bing_negative,bing_positive,bing_sentiment
degeneration,1,0,-1
deginified,0,1,1
degradation,1,0,-1
degrade,1,0,-1
degrading,1,0,-1
degradingly,1,0,-1
dehumanization,1,0,-1
dehumanize,1,0,-1
deign,1,0,-1
deject,1,0,-1
dejected,1,0,-1
dejectedly,1,0,-1
dejection,1,0,-1
delay,1,0,-1
delayed,1,0,-1
delaying,1,0,-1
delays,1,0,-1
delectable,0,1,1
delicacy,0,1,1
delicate,0,1,1
delicious,0,1,1
delight,0,1,1
delighted,0,1,1
delightful,0,1,1
delightfully,0,1,1
delightfulness,0,1,1
delinquency,1,0,-1
delinquent,1,0,-1
delirious,1,0,-1
delirium,1,0,-1
delude,1,0,-1
deluded,1,0,-1
deluge,1,0,-1
delusion,1,0,-1
delusional,1,0,-1
delusions,1,0,-1
demean,1,0,-1
demeaning,1,0,-1
demise,1,0,-1
demolish,1,0,-1
demolisher,1,0,-1
demon,1,0,-1
demonic,1,0,-1
demonize,1,0,-1
demonized,1,0,-1
demonizes,1,0,-1
demonizing,1,0,-1
demoralize,1,0,-1
demoralizing,1,0,-1
demoralizingly,1,0,-1
denial,1,0,-1
denied,1,0,-1
denies,1,0,-1
denigrate,1,0,-1
denounce,1,0,-1
dense,1,0,-1
dent,1,0,-1
dented,1,0,-1
dents,1,0,-1
denunciate,1,0,-1
denunciation,1,0,-1
denunciations,1,0,-1
deny,1,0,-1
denying,1,0,-1
dependable,0,1,1
dependably,0,1,1
deplete,1,0,-1
deplorable,1,0,-1
deplorably,1,0,-1
deplore,1,0,-1
deploring,1,0,-1
deploringly,1,0,-1
deprave,1,0,-1
depraved,1,0,-1
depravedly,1,0,-1
deprecate,1,0,-1
depress,1,0,-1
depressed,1,0,-1
depressing,1,0,-1
depressingly,1,0,-1
depression,1,0,-1
depressions,1,0,-1
deprive,1,0,-1
deprived,1,0,-1
deride,1,0,-1
derision,1,0,-1
derisive,1,0,-1
derisively,1,0,-1
derisiveness,1,0,-1
derogatory,1,0,-1
desecrate,1,0,-1
desert,1,0,-1
desertion,1,0,-1
deservedly,0,1,1
deserving,0,1,1
desiccate,1,0,-1
desiccated,1,0,-1
desirable,0,1,1
desiring,0,1,1
desirous,0,1,1
desititute,1,0,-1
desolate,1,0,-1
desolately,1,0,-1
desolation,1,0,-1
despair,1,0,-1
despairing,1,0,-1
despairingly,1,0,-1
desperate,1,0,-1
desperately,1,0,-1
desperation,1,0,-1
despicable,1,0,-1
despicably,1,0,-1
despise,1,0,-1
despised,1,0,-1
despoil,1,0,-1
despoiler,1,0,-1
despondence,1,0,-1
despondency,1,0,-1
despondent,1,0,-1
despondently,1,0,-1
despot,1,0,-1
despotic,1,0,-1
despotism,1,0,-1
destabilisation,1,0,-1
destains,1,0,-1
destiny,0,1,1
destitute,1,0,-1
destitution,1,0,-1
destroy,1,0,-1
destroyer,1,0,-1
destruction,1,0,-1
destructive,1,0,-1
desultory,1,0,-1
detachable,0,1,1
deter,1,0,-1
deteriorate,1,0,-1
deteriorating,1,0,-1
deterioration,1,0,-1
deterrent,1,0,-1
detest,1,0,-1
detestable,1,0,-1
detestably,1,0,-1
detested,1,0,-1
detesting,1,0,-1
detests,1,0,-1
detract,1,0,-1
detracted,1,0,-1
detracting,1,0,-1
detraction,1,0,-1
detracts,1,0,-1
detriment,1,0,-1
detrimental,1,0,-1
devastate,1,0,-1
devastated,1,0,-1
devastates,1,0,-1
devastating,1,0,-1
devastatingly,1,0,-1
devastation,1,0,-1
deviate,1,0,-1
deviation,1,0,-1
devil,1,0,-1
devilish,1,0,-1
devilishly,1,0,-1
devilment,1,0,-1
devilry,1,0,-1
devious,1,0,-1
deviously,1,0,-1
deviousness,1,0,-1
devoid,1,0,-1
devout,0,1,1
dexterous,0,1,1
dexterously,0,1,1
dextrous,0,1,1
diabolic,1,0,-1
diabolical,1,0,-1
diabolically,1,0,-1
diametrically,1,0,-1
diappointed,1,0,-1
diatribe,1,0,-1
diatribes,1,0,-1
dick,1,0,-1
dictator,1,0,-1
dictatorial,1,0,-1
die,1,0,-1
died,1,0,-1
dies,1,0,-1
difficult,1,0,-1
difficulties,1,0,-1
difficulty,1,0,-1
diffidence,1,0,-1
dignified,0,1,1
dignify,0,1,1
dignity,0,1,1
dilapidated,1,0,-1
dilemma,1,0,-1
diligence,0,1,1
diligent,0,1,1
diligently,0,1,1
dim,1,0,-1
dimmer,1,0,-1
din,1,0,-1
ding,1,0,-1
dings,1,0,-1
dinky,1,0,-1
diplomatic,0,1,1
dire,1,0,-1
direly,1,0,-1
direness,1,0,-1
dirt,1,0,-1
dirtbag,1,0,-1
dirtbags,1,0,-1
dirts,1,0,-1
dirty,1,0,-1
disable,1,0,-1
disabled,1,0,-1
disaccord,1,0,-1
disadvantage,1,0,-1
disadvantaged,1,0,-1
disadvantageous,1,0,-1
disadvantages,1,0,-1
disaffect,1,0,-1
disaffected,1,0,-1
disaffirm,1,0,-1
disagree,1,0,-1
disagreeable,1,0,-1
disagreeably,1,0,-1
disagreed,1,0,-1
disagreeing,1,0,-1
disagreement,1,0,-1
disagrees,1,0,-1
disallow,1,0,-1
disapointed,1,0,-1
disapointing,1,0,-1
disapointment,1,0,-1
disappoint,1,0,-1
disappointed,1,0,-1
disappointing,1,0,-1
disappointingly,1,0,-1
disappointment,1,0,-1
disappointments,1,0,-1
disappoints,1,0,-1
disapprobation,1,0,-1
disapproval,1,0,-1
disapprove,1,0,-1
disapproving,1,0,-1
disarm,1,0,-1
disarray,1,0,-1
disaster,1,0,-1
disasterous,1,0,-1
disastrous,1,0,-1
disastrously,1,0,-1
disavow,1,0,-1
disavowal,1,0,-1
disbelief,1,0,-1
disbelieve,1,0,-1
disbeliever,1,0,-1
disclaim,1,0,-1
discombobulate,1,0,-1
discomfit,1,0,-1
discomfititure,1,0,-1
discomfort,1,0,-1
discompose,1,0,-1
disconcert,1,0,-1
disconcerted,1,0,-1
disconcerting,1,0,-1
disconcertingly,1,0,-1
disconsolate,1,0,-1
disconsolately,1,0,-1
disconsolation,1,0,-1
discontent,1,0,-1
discontented,1,0,-1
discontentedly,1,0,-1
discontinued,1,0,-1
discontinuity,1,0,-1
discontinuous,1,0,-1
discord,1,0,-1
discordance,1,0,-1
discordant,1,0,-1
discountenance,1,0,-1
discourage,1,0,-1
discouragement,1,0,-1
discouraging,1,0,-1
discouragingly,1,0,-1
discourteous,1,0,-1
discourteously,1,0,-1
discoutinous,1,0,-1
discredit,1,0,-1
discrepant,1,0,-1
discriminate,1,0,-1
discrimination,1,0,-1
discriminatory,1,0,-1
disdain,1,0,-1
disdained,1,0,-1
disdainful,1,0,-1
disdainfully,1,0,-1
disfavor,1,0,-1
disgrace,1,0,-1
disgraced,1,0,-1
disgraceful,1,0,-1
disgracefully,1,0,-1
disgruntle,1,0,-1
disgruntled,1,0,-1
disgust,1,0,-1
disgusted,1,0,-1
disgustedly,1,0,-1
disgustful,1,0,-1
disgustfully,1,0,-1
disgusting,1,0,-1
disgustingly,1,0,-1
dishearten,1,0,-1
disheartening,1,0,-1
dishearteningly,1,0,-1
dishonest,1,0,-1
dishonestly,1,0,-1
dishonesty,1,0,-1
dishonor,1,0,-1
dishonorable,1,0,-1
dishonorablely,1,0,-1
disillusion,1,0,-1
disillusioned,1,0,-1
disillusionment,1,0,-1
disillusions,1,0,-1
disinclination,1,0,-1
disinclined,1,0,-1
disingenuous,1,0,-1
disingenuously,1,0,-1
disintegrate,1,0,-1
disintegrated,1,0,-1
disintegrates,1,0,-1
disintegration,1,0,-1
disinterest,1,0,-1
disinterested,1,0,-1
dislike,1,0,-1
disliked,1,0,-1
dislikes,1,0,-1
disliking,1,0,-1
dislocated,1,0,-1
disloyal,1,0,-1
disloyalty,1,0,-1
dismal,1,0,-1
dismally,1,0,-1
dismalness,1,0,-1
dismay,1,0,-1
dismayed,1,0,-1
dismaying,1,0,-1
dismayingly,1,0,-1
dismissive,1,0,-1
dismissively,1,0,-1
disobedience,1,0,-1
disobedient,1,0,-1
disobey,1,0,-1
disoobedient,1,0,-1
disorder,1,0,-1
disordered,1,0,-1
disorderly,1,0,-1
disorganized,1,0,-1
disorient,1,0,-1
disoriented,1,0,-1
disown,1,0,-1
disparage,1,0,-1
disparaging,1,0,-1
disparagingly,1,0,-1
dispensable,1,0,-1
dispirit,1,0,-1
dispirited,1,0,-1
dispiritedly,1,0,-1
dispiriting,1,0,-1
displace,1,0,-1
displaced,1,0,-1
displease,1,0,-1
displeased,1,0,-1
displeasing,1,0,-1
displeasure,1,0,-1
disproportionate,1,0,-1
disprove,1,0,-1
disputable,1,0,-1
dispute,1,0,-1
disputed,1,0,-1
disquiet,1,0,-1
disquieting,1,0,-1
disquietingly,1,0,-1
disquietude,1,0,-1
disregard,1,0,-1
disregardful,1,0,-1
disreputable,1,0,-1
disrepute,1,0,-1
disrespect,1,0,-1
disrespectable,1,0,-1
disrespectablity,1,0,-1
disrespectful,1,0,-1
disrespectfully,1,0,-1
disrespectfulness,1,0,-1
disrespecting,1,0,-1
disrupt,1,0,-1
disruption,1,0,-1
disruptive,1,0,-1
diss,1,0,-1
dissapointed,1,0,-1
dissappointed,1,0,-1
dissappointing,1,0,-1
dissatisfaction,1,0,-1
dissatisfactory,1,0,-1
dissatisfied,1,0,-1
dissatisfies,1,0,-1
dissatisfy,1,0,-1
dissatisfying,1,0,-1
dissed,1,0,-1
dissemble,1,0,-1
dissembler,1,0,-1
dissension,1,0,-1
dissent,1,0,-1
dissenter,1,0,-1
dissention,1,0,-1
disservice,1,0,-1
disses,1,0,-1
dissidence,1,0,-1
dissident,1,0,-1
dissidents,1,0,-1
dissing,1,0,-1
dissocial,1,0,-1
dissolute,1,0,-1
dissolution,1,0,-1
dissonance,1,0,-1
dissonant,1,0,-1
dissonantly,1,0,-1
dissuade,1,0,-1
dissuasive,1,0,-1
distains,1,0,-1
distaste,1,0,-1
distasteful,1,0,-1
distastefully,1,0,-1
distinction,0,1,1
distinctive,0,1,1
distinguished,0,1,1
distort,1,0,-1
distorted,1,0,-1
distortion,1,0,-1
distorts,1,0,-1
distract,1,0,-1
distracting,1,0,-1
distraction,1,0,-1
distraught,1,0,-1
distraughtly,1,0,-1
distraughtness,1,0,-1
distress,1,0,-1
distressed,1,0,-1
distressing,1,0,-1
distressingly,1,0,-1
distrust,1,0,-1
distrustful,1,0,-1
distrusting,1,0,-1
disturb,1,0,-1
disturbance,1,0,-1
disturbed,1,0,-1
disturbing,1,0,-1
disturbingly,1,0,-1
disunity,1,0,-1
disvalue,1,0,-1
divergent,1,0,-1
diversified,0,1,1
divine,0,1,1
divinely,0,1,1
divisive,1,0,-1
divisively,1,0,-1
divisiveness,1,0,-1
dizzing,1,0,-1
dizzingly,1,0,-1
dizzy,1,0,-1
doddering,1,0,-1
dodgey,1,0,-1
dogged,1,0,-1
doggedly,1,0,-1
dogmatic,1,0,-1
doldrums,1,0,-1
dominate,0,1,1
dominated,0,1,1
dominates,0,1,1
domineer,1,0,-1
domineering,1,0,-1
donside,1,0,-1
doom,1,0,-1
doomed,1,0,-1
doomsday,1,0,-1
dope,1,0,-1
dote,0,1,1
dotingly,0,1,1
doubt,1,0,-1
doubtful,1,0,-1
doubtfully,1,0,-1
doubtless,0,1,1
doubts,1,0,-1
douchbag,1,0,-1
douchebag,1,0,-1
douchebags,1,0,-1
downbeat,1,0,-1
downcast,1,0,-1
downer,1,0,-1
downfall,1,0,-1
downfallen,1,0,-1
downgrade,1,0,-1
downhearted,1,0,-1
downheartedly,1,0,-1
downhill,1,0,-1
downside,1,0,-1
downsides,1,0,-1
downturn,1,0,-1
downturns,1,0,-1
drab,1,0,-1
draconian,1,0,-1
draconic,1,0,-1
drag,1,0,-1
dragged,1,0,-1
dragging,1,0,-1
dragoon,1,0,-1
drags,1,0,-1
drain,1,0,-1
drained,1,0,-1
draining,1,0,-1
drains,1,0,-1
drastic,1,0,-1
drastically,1,0,-1
drawback,1,0,-1
drawbacks,1,0,-1
dread,1,0,-1
dreadful,1,0,-1
dreadfully,1,0,-1
dreadfulness,1,0,-1
dreamland,0,1,1
dreary,1,0,-1
dripped,1,0,-1
dripping,1,0,-1
drippy,1,0,-1
drips,1,0,-1
drones,1,0,-1
droop,1,0,-1
droops,1,0,-1
dropout,1,0,-1
dropouts,1,0,-1
drought,1,0,-1
drowning,1,0,-1
drunk,1,0,-1
drunkard,1,0,-1
drunken,1,0,-1
dubious,1,0,-1
dubiously,1,0,-1
dubitable,1,0,-1
dud,1,0,-1
dull,1,0,-1
dullard,1,0,-1
dumb,1,0,-1
dumbfound,1,0,-1
dumbfounded,0,1,1
dumbfounding,0,1,1
dump,1,0,-1
dumped,1,0,-1
dumping,1,0,-1
dumps,1,0,-1
dunce,1,0,-1
dungeon,1,0,-1
dungeons,1,0,-1
dupe,1,0,-1
durable,0,1,1
dust,1,0,-1
dusty,1,0,-1
dwindling,1,0,-1
dying,1,0,-1
dynamic,0,1,1
eager,0,1,1
eagerly,0,1,1
eagerness,0,1,1
earnest,0,1,1
earnestly,0,1,1
earnestness,0,1,1
earsplitting,1,0,-1
ease,0,1,1
eased,0,1,1
eases,0,1,1
easier,0,1,1
easiest,0,1,1
easiness,0,1,1
easing,0,1,1
easy,0,1,1
easygoing,0,1,1
ebullience,0,1,1
ebullient,0,1,1
ebulliently,0,1,1
eccentric,1,0,-1
eccentricity,1,0,-1
ecenomical,0,1,1
economical,0,1,1
ecstasies,0,1,1
ecstasy,0,1,1
ecstatic,0,1,1
ecstatically,0,1,1
edify,0,1,1
educated,0,1,1
effective,0,1,1
effectively,0,1,1
effectiveness,0,1,1
effectual,0,1,1
efficacious,0,1,1
efficient,0,1,1
efficiently,0,1,1
effigy,1,0,-1
effortless,0,1,1
effortlessly,0,1,1
effrontery,1,0,-1
effusion,0,1,1
effusive,0,1,1
effusively,0,1,1
effusiveness,0,1,1
egocentric,1,0,-1
egomania,1,0,-1
egotism,1,0,-1
egotistical,1,0,-1
egotistically,1,0,-1
egregious,1,0,-1
egregiously,1,0,-1
elan,0,1,1
elate,0,1,1
elated,0,1,1
elatedly,0,1,1
elation,0,1,1
electrify,0,1,1
elegance,0,1,1
elegant,0,1,1
elegantly,0,1,1
elevate,0,1,1
elimination,1,0,-1
elite,0,1,1
eloquence,0,1,1
eloquent,0,1,1
eloquently,0,1,1
emaciated,1,0,-1
emasculate,1,0,-1
embarrass,1,0,-1
embarrassing,1,0,-1
embarrassingly,1,0,-1
embarrassment,1,0,-1
embattled,1,0,-1
embolden,0,1,1
embroil,1,0,-1
embroiled,1,0,-1
embroilment,1,0,-1
emergency,1,0,-1
eminence,0,1,1
eminent,0,1,1
empathize,0,1,1
empathy,0,1,1
emphatic,1,0,-1
emphatically,1,0,-1
empower,0,1,1
empowerment,0,1,1
emptiness,1,0,-1
enchant,0,1,1
enchanted,0,1,1
enchanting,0,1,1
enchantingly,0,1,1
encourage,0,1,1
encouragement,0,1,1
encouraging,0,1,1
encouragingly,0,1,1
encroach,1,0,-1
encroachment,1,0,-1
endanger,1,0,-1
endear,0,1,1
endearing,0,1,1
endorse,0,1,1
endorsed,0,1,1
endorsement,0,1,1
endorses,0,1,1
endorsing,0,1,1
enemies,1,0,-1
enemy,1,0,-1
energetic,0,1,1
energize,0,1,1
enervate,1,0,-1
enfeeble,1,0,-1
enflame,1,0,-1
engaging,0,1,1
engrossing,0,1,1
engulf,1,0,-1
enhance,0,1,1
enhanced,0,1,1
enhancement,0,1,1
enhances,0,1,1
enjoin,1,0,-1
enjoy,0,1,1
enjoyable,0,1,1
enjoyably,0,1,1
enjoyed,0,1,1
enjoying,0,1,1
enjoyment,0,1,1
enjoys,0,1,1
enlighten,0,1,1
enlightenment,0,1,1
enliven,0,1,1
enmity,1,0,-1
ennoble,0,1,1
enough,0,1,1
enrage,1,0,-1
enraged,1,0,-1
enraging,1,0,-1
enrapt,0,1,1
enrapture,0,1,1
enraptured,0,1,1
enrich,0,1,1
enrichment,0,1,1
enslave,1,0,-1
entangle,1,0,-1
entanglement,1,0,-1
enterprising,0,1,1
entertain,0,1,1
entertaining,0,1,1
entertains,0,1,1
enthral,0,1,1
enthrall,0,1,1
enthralled,0,1,1
enthuse,0,1,1
enthusiasm,0,1,1
enthusiast,0,1,1
enthusiastic,0,1,1
enthusiastically,0,1,1
entice,0,1,1
enticed,0,1,1
enticing,0,1,1
enticingly,0,1,1
entranced,0,1,1
entrancing,0,1,1
entrap,1,0,-1
entrapment,1,0,-1
entrust,0,1,1
enviable,0,1,1
enviably,0,1,1
envious,1,1,0
enviously,1,1,0
enviousness,1,1,0
envy,0,1,1
epidemic,1,0,-1
equitable,0,1,1
equivocal,1,0,-1
erase,1,0,-1
ergonomical,0,1,1
erode,1,0,-1
erodes,1,0,-1
erosion,1,0,-1
err,1,0,-1
errant,1,0,-1
erratic,1,0,-1
erratically,1,0,-1
erroneous,1,0,-1
erroneously,1,0,-1
error,1,0,-1
errors,1,0,-1
erudite,0,1,1
eruptions,1,0,-1
escapade,1,0,-1
eschew,1,0,-1
estranged,1,0,-1
ethical,0,1,1
eulogize,0,1,1
euphoria,0,1,1
euphoric,0,1,1
euphorically,0,1,1
evade,1,0,-1
evaluative,0,1,1
evasion,1,0,-1
evasive,1,0,-1
evenly,0,1,1
eventful,0,1,1
everlasting,0,1,1
evil,1,0,-1
evildoer,1,0,-1
evils,1,0,-1
eviscerate,1,0,-1
evocative,0,1,1
exacerbate,1,0,-1
exagerate,1,0,-1
exagerated,1,0,-1
exagerates,1,0,-1
exaggerate,1,0,-1
exaggeration,1,0,-1
exalt,0,1,1
exaltation,0,1,1
exalted,0,1,1
exaltedly,0,1,1
exalting,0,1,1
exaltingly,0,1,1
examplar,0,1,1
examplary,0,1,1
exasperate,1,0,-1
exasperated,1,0,-1
exasperating,1,0,-1
exasperatingly,1,0,-1
exasperation,1,0,-1
excallent,0,1,1
exceed,0,1,1
exceeded,0,1,1
exceeding,0,1,1
exceedingly,0,1,1
exceeds,0,1,1
excel,0,1,1
exceled,0,1,1
excelent,0,1,1
excellant,0,1,1
excelled,0,1,1
excellence,0,1,1
excellency,0,1,1
excellent,0,1,1
excellently,0,1,1
excels,0,1,1
exceptional,0,1,1
exceptionally,0,1,1
excessive,1,0,-1
excessively,1,0,-1
excite,0,1,1
excited,0,1,1
excitedly,0,1,1
excitedness,0,1,1
excitement,0,1,1
excites,0,1,1
exciting,0,1,1
excitingly,0,1,1
exclusion,1,0,-1
excoriate,1,0,-1
excruciating,1,0,-1
excruciatingly,1,0,-1
excuse,1,0,-1
excuses,1,0,-1
execrate,1,0,-1
exellent,0,1,1
exemplar,0,1,1
exemplary,0,1,1
exhaust,1,0,-1
exhausted,1,0,-1
exhaustion,1,0,-1
exhausts,1,0,-1
exhilarate,0,1,1
exhilarating,0,1,1
exhilaratingly,0,1,1
exhilaration,0,1,1
exhorbitant,1,0,-1
exhort,1,0,-1
exile,1,0,-1
exonerate,0,1,1
exorbitant,1,0,-1
exorbitantance,1,0,-1
exorbitantly,1,0,-1
expansive,0,1,1
expeditiously,0,1,1
expel,1,0,-1
expensive,1,0,-1
expertly,0,1,1
expire,1,0,-1
expired,1,0,-1
explode,1,0,-1
exploit,1,0,-1
exploitation,1,0,-1
explosive,1,0,-1
expropriate,1,0,-1
expropriation,1,0,-1
expulse,1,0,-1
expunge,1,0,-1
exquisite,0,1,1
exquisitely,0,1,1
exterminate,1,0,-1
extermination,1,0,-1
extinguish,1,0,-1
extol,0,1,1
extoll,0,1,1
extort,1,0,-1
extortion,1,0,-1
extraneous,1,0,-1
extraordinarily,0,1,1
extraordinary,0,1,1
extravagance,1,0,-1
extravagant,1,0,-1
extravagantly,1,0,-1
extremism,1,0,-1
extremist,1,0,-1
extremists,1,0,-1
exuberance,0,1,1
exuberant,0,1,1
exuberantly,0,1,1
exult,0,1,1
exultant,0,1,1
exultation,0,1,1
exultingly,0,1,1
eyecatch,0,1,1
eyecatching,0,1,1
eyesore,1,0,-1
fabricate,1,0,-1
fabrication,1,0,-1
fabulous,0,1,1
fabulously,0,1,1
facetious,1,0,-1
facetiously,1,0,-1
facilitate,0,1,1
fail,1,0,-1
failed,1,0,-1
failing,1,0,-1
fails,1,0,-1
failure,1,0,-1
failures,1,0,-1
faint,1,0,-1
fainthearted,1,0,-1
fair,0,1,1
fairly,0,1,1
fairness,0,1,1
faith,0,1,1
faithful,0,1,1
faithfully,0,1,1
faithfulness,0,1,1
faithless,1,0,-1
fake,1,0,-1
fall,1,0,-1
fallacies,1,0,-1
fallacious,1,0,-1
fallaciously,1,0,-1
fallaciousness,1,0,-1
fallacy,1,0,-1
fallen,1,0,-1
falling,1,0,-1
fallout,1,0,-1
falls,1,0,-1
false,1,0,-1
falsehood,1,0,-1
falsely,1,0,-1
falsify,1,0,-1
falter,1,0,-1
faltered,1,0,-1
fame,0,1,1
famed,0,1,1
famine,1,0,-1
famished,1,0,-1
famous,0,1,1
famously,0,1,1
fanatic,1,0,-1
fanatical,1,0,-1
fanatically,1,0,-1
fanaticism,1,0,-1
fanatics,1,0,-1
fancier,0,1,1
fanciful,1,0,-1
fancinating,0,1,1
fancy,0,1,1
fanfare,0,1,1
fans,0,1,1
fantastic,0,1,1
fantastically,0,1,1
farce,1,0,-1
farcical,1,0,-1
farcically,1,0,-1
farfetched,1,0,-1
fascinate,0,1,1
fascinating,0,1,1
fascinatingly,0,1,1
fascination,0,1,1
fascism,1,0,-1
fascist,1,0,-1
fashionable,0,1,1
fashionably,0,1,1
fast,0,1,1
faster,0,1,1
fastest,0,1,1
fastidious,1,0,-1
fastidiously,1,0,-1
fastuous,1,0,-1
fat,1,0,-1
fatal,1,0,-1
fatalistic,1,0,-1
fatalistically,1,0,-1
fatally,1,0,-1
fatcat,1,0,-1
fatcats,1,0,-1
fateful,1,0,-1
fatefully,1,0,-1
fathomless,1,0,-1
fatigue,1,0,-1
fatigued,1,0,-1
fatique,1,0,-1
fatty,1,0,-1
fatuity,1,0,-1
fatuous,1,0,-1
fatuously,1,0,-1
fault,1,0,-1
faultless,0,1,1
faults,1,0,-1
faulty,1,0,-1
fav,0,1,1
fave,0,1,1
favor,0,1,1
favorable,0,1,1
favored,0,1,1
favorite,0,1,1
favorited,0,1,1
favour,0,1,1
fawningly,1,0,-1
faze,1,0,-1
fear,1,0,-1
fearful,1,0,-1
fearfully,1,0,-1
fearless,0,1,1
fearlessly,0,1,1
fears,1,0,-1
fearsome,1,0,-1
feasible,0,1,1
feasibly,0,1,1
feat,0,1,1
fecilitous,0,1,1
feckless,1,0,-1
feeble,1,0,-1
feeblely,1,0,-1
feebleminded,1,0,-1
feign,1,0,-1
feint,1,0,-1
feisty,0,1,1
felicitate,0,1,1
felicitous,0,1,1
felicity,0,1,1
fell,1,0,-1
felon,1,0,-1
felonious,1,0,-1
ferociously,1,0,-1
ferocity,1,0,-1
fertile,0,1,1
fervent,0,1,1
fervently,0,1,1
fervid,0,1,1
fervidly,0,1,1
fervor,0,1,1
festive,0,1,1
fetid,1,0,-1
fever,1,0,-1
feverish,1,0,-1
fevers,1,0,-1
fiasco,1,0,-1
fib,1,0,-1
fibber,1,0,-1
fickle,1,0,-1
fiction,1,0,-1
fictional,1,0,-1
fictitious,1,0,-1
fidelity,0,1,1
fidget,1,0,-1
fidgety,1,0,-1
fiend,1,0,-1
fiendish,1,0,-1
fierce,1,0,-1
fiery,0,1,1
figurehead,1,0,-1
filth,1,0,-1
filthy,1,0,-1
finagle,1,0,-1
fine,0,1,1
finely,0,1,1
finer,0,1,1
finest,0,1,1
finicky,1,0,-1
firmer,0,1,1
fissures,1,0,-1
fist,1,0,-1
flabbergast,1,0,-1
flabbergasted,1,0,-1
flagging,1,0,-1
flagrant,1,0,-1
flagrantly,1,0,-1
flair,1,0,-1
flairs,1,0,-1
flak,1,0,-1
flake,1,0,-1
flakey,1,0,-1
flakieness,1,0,-1
flaking,1,0,-1
flaky,1,0,-1
flare,1,0,-1
flares,1,0,-1
flareup,1,0,-1
flareups,1,0,-1
flashy,0,1,1
flatter,0,1,1
flattering,0,1,1
flatteringly,0,1,1
flaunt,1,0,-1
flaw,1,0,-1
flawed,1,0,-1
flawless,0,1,1
flawlessly,0,1,1
flaws,1,0,-1
flee,1,0,-1
fleed,1,0,-1
fleeing,1,0,-1
fleer,1,0,-1
flees,1,0,-1
fleeting,1,0,-1
flexibility,0,1,1
flexible,0,1,1
flicering,1,0,-1
flicker,1,0,-1
flickering,1,0,-1
flickers,1,0,-1
flighty,1,0,-1
flimflam,1,0,-1
flimsy,1,0,-1
flirt,1,0,-1
flirty,1,0,-1
floored,1,0,-1
flounder,1,0,-1
floundering,1,0,-1
flourish,0,1,1
flourishing,0,1,1
flout,1,0,-1
fluent,0,1,1
fluster,1,0,-1
flutter,0,1,1
foe,1,0,-1
fond,0,1,1
fondly,0,1,1
fondness,0,1,1
fool,1,0,-1
fooled,1,0,-1
foolhardy,1,0,-1
foolish,1,0,-1
foolishly,1,0,-1
foolishness,1,0,-1
foolproof,0,1,1
forbid,1,0,-1
forbidden,1,0,-1
forbidding,1,0,-1
forceful,1,0,-1
foreboding,1,0,-1
forebodingly,1,0,-1
foremost,0,1,1
foresight,0,1,1
forfeit,1,0,-1
forged,1,0,-1
forgetful,1,0,-1
forgetfully,1,0,-1
forgetfulness,1,0,-1
forlorn,1,0,-1
forlornly,1,0,-1
formidable,0,1,1
forsake,1,0,-1
forsaken,1,0,-1
forswear,1,0,-1
fortitude,0,1,1
fortuitous,0,1,1
fortuitously,0,1,1
fortunate,0,1,1
fortunately,0,1,1
fortune,0,1,1
foul,1,0,-1
foully,1,0,-1
foulness,1,0,-1
fractious,1,0,-1
fractiously,1,0,-1
fracture,1,0,-1
fragile,1,0,-1
fragmented,1,0,-1
fragrant,0,1,1
frail,1,0,-1
frantic,1,0,-1
frantically,1,0,-1
franticly,1,0,-1
fraud,1,0,-1
fraudulent,1,0,-1
fraught,1,0,-1
frazzle,1,0,-1
frazzled,1,0,-1
freak,1,0,-1
freaking,1,0,-1
freakish,1,0,-1
freakishly,1,0,-1
freaks,1,0,-1
free,0,1,1
freed,0,1,1
freedom,0,1,1
freedoms,0,1,1
freeze,1,0,-1
freezes,1,0,-1
freezing,1,0,-1
frenetic,1,0,-1
frenetically,1,0,-1
frenzied,1,0,-1
frenzy,1,0,-1
fresh,0,1,1
fresher,0,1,1
freshest,0,1,1
fret,1,0,-1
fretful,1,0,-1
frets,1,0,-1
friction,1,0,-1
frictions,1,0,-1
fried,1,0,-1
friendliness,0,1,1
friendly,0,1,1
friggin,1,0,-1
frigging,1,0,-1
fright,1,0,-1
frighten,1,0,-1
frightening,1,0,-1
frighteningly,1,0,-1
frightful,1,0,-1
frightfully,1,0,-1
frigid,1,0,-1
frolic,0,1,1
frost,1,0,-1
frown,1,0,-1
froze,1,0,-1
frozen,1,0,-1
frugal,0,1,1
fruitful,0,1,1
fruitless,1,0,-1
fruitlessly,1,0,-1
frustrate,1,0,-1
frustrated,1,0,-1
frustrates,1,0,-1
frustrating,1,0,-1
frustratingly,1,0,-1
frustration,1,0,-1
frustrations,1,0,-1
ftw,0,1,1
fuck,1,0,-1
fucking,1,0,-1
fudge,1,0,-1
fugitive,1,0,-1
fulfillment,0,1,1
fulminate,1,0,-1
fumble,1,0,-1
fume,1,0,-1
fumes,1,0,-1
fun,0,1,1
fundamentalism,1,0,-1
funky,1,0,-1
funnily,1,0,-1
funny,1,0,-1
furious,1,0,-1
furiously,1,0,-1
furor,1,0,-1
fury,1,0,-1
fuss,1,0,-1
fussy,1,0,-1
fustigate,1,0,-1
fusty,1,0,-1
futile,1,0,-1
futilely,1,0,-1
futility,1,0,-1
futurestic,0,1,1
futuristic,0,1,1
fuzzy,1,0,-1
